,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
638,pearl of pyongyang (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,2.0,dec-52,1952.0
639,gloria garsen (earth-616),public identity,good characters,None,blond hair,female characters,living characters,4.0,dec-88,1988.0
640,bitmap (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,7.0,mar-94,1994.0
641,phae-dor (earth-616),public identity,None,None,blue hair,male characters,living characters,7.0,feb-76,1976.0
642,khalid inshallah (earth-616),public identity,good characters,None,grey hair,male characters,living characters,2.0,jul-89,1989.0
643,els udonta (earth-616),secret identity,good characters,blue eyes,no hair,female characters,living characters,7.0,jun-10,2010.0
644,andrei gorlovich (earth-616),None,bad characters,None,None,male characters,deceased characters,3.0,jun-06,2006.0
645,rocco castiglione (earth-616),public identity,neutral characters,blue eyes,white hair,male characters,living characters,1.0,dec-90,1990.0
646,peggy rae (earth-616),public identity,neutral characters,None,blond hair,female characters,living characters,7.0,oct-05,2005.0
647,jack the ripper (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,12.0,mar-45,1945.0
648,el caiman (earth-616),secret identity,bad characters,None,grey hair,male characters,deceased characters,1.0,aug-88,1988.0
649,impala (earth-616),secret identity,None,brown eyes,bald,female characters,living characters,9.0,jul-91,1991.0
650,arkin (earth-616),None,bad characters,None,black hair,male characters,living characters,2.0,oct-64,1964.0
651,anton vanko (crimson dynamo) (earth-616),secret identity,good characters,brown eyes,bald,male characters,deceased characters,13.0,oct-63,1963.0
652,roman nekoboh (earth-616),public identity,neutral characters,None,bald,male characters,living characters,7.0,nov-83,1983.0
653,one above all (earth-616),secret identity,neutral characters,None,no hair,male characters,living characters,21.0,jan-77,1977.0
654,jesse metuchen (earth-616),secret identity,good characters,brown eyes,brown hair,male characters,living characters,3.0,nov-02,2002.0
655,elisabeth wilford (earth-616),public identity,good characters,None,auburn hair,female characters,living characters,6.0,apr-76,1976.0
656,ashley martin (earth-616),no dual identity,None,None,blond hair,female characters,living characters,9.0,aug-00,2000.0
657,franklin neal (earth-616),public identity,neutral characters,None,None,male characters,living characters,1.0,apr-80,1980.0
658,john anderson (earth-616),public identity,good characters,brown eyes,blond hair,male characters,living characters,14.0,sep-03,2003.0
659,mon-tog (earth-616),public identity,None,None,black hair,male characters,living characters,1.0,apr-77,1977.0
660,edward cross (earth-616),public identity,bad characters,blue eyes,bald,male characters,living characters,3.0,nov-89,1989.0
661,andromeda (pantheon) (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,2.0,dec-93,1993.0
662,patsy dragonsworth (earth-616),no dual identity,None,None,black hair,female characters,deceased characters,2.0,nov-76,1976.0
663,joyride (earth-616),None,bad characters,None,None,male characters,living characters,1.0,aug-90,1990.0
664,endgame (legion personality) (earth-616),secret identity,bad characters,None,None,None,living characters,3.0,jul-11,2011.0
665,ikthalon (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,4.0,mar-74,1974.0
666,doris jacquet (earth-616),None,good characters,green eyes,brown hair,female characters,living characters,9.0,jan-94,1994.0
667,barbara degioia (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,jan-95,1995.0
668,mister million (earth-616),secret identity,good characters,None,blond hair,male characters,living characters,1.0,apr-41,1941.0
669,piper (morlock) (earth-616),secret identity,neutral characters,blue eyes,grey hair,male characters,deceased characters,9.0,jun-85,1985.0
670,j. vernon mann (earth-616),public identity,good characters,None,black hair,male characters,living characters,4.0,oct-99,1999.0
671,ika (earth-616),None,good characters,None,None,female characters,living characters,10.0,jul-83,1983.0
672,noble kale (earth-616),secret identity,good characters,None,no hair,male characters,living characters,13.0,may-90,1990.0
673,jemail karami (earth-616),None,bad characters,None,None,male characters,living characters,5.0,apr-85,1985.0
674,nykonn (earth-616),None,bad characters,None,None,None,living characters,18.0,jun-77,1977.0
675,ocar (earth-616),public identity,good characters,None,white hair,male characters,living characters,1.0,jun-73,1973.0
676,matt coris (earth-616),secret identity,None,None,None,male characters,deceased characters,2.0,dec-89,1989.0
677,elihas starr (earth-616),public identity,bad characters,blue eyes,bald,male characters,deceased characters,45.0,dec-62,1962.0
678,rich van burian (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,7.0,mar-89,1989.0
679,ava peloso (earth-616),secret identity,None,None,brown hair,female characters,living characters,3.0,may-94,1994.0
680,cyanide (earth-616),secret identity,neutral characters,yellow eyes,bald,male characters,living characters,2.0,feb-93,1993.0
681,think tank (earth-616),secret identity,good characters,None,None,male characters,living characters,4.0,jun-08,2008.0
682,ace turmbull (earth-616),secret identity,bad characters,None,grey hair,male characters,deceased characters,1.0,oct-48,1948.0
683,alonzo gonzales (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,mar-45,1945.0
684,gerald ford (earth-616),public identity,None,None,None,male characters,living characters,9.0,mar-75,1975.0
685,randall jessup (earth-616),public identity,neutral characters,brown eyes,blond hair,male characters,living characters,15.0,mar-13,2013.0
686,archibald hunt (earth-616),no dual identity,bad characters,brown eyes,grey hair,male characters,living characters,5.0,jan-06,2006.0
687,white man (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,2.0,None,None
688,jolen (earth-616),secret identity,bad characters,white eyes,brown hair,male characters,living characters,17.0,aug-03,2003.0
689,"john jonah jameson, sr. (earth-616)",no dual identity,good characters,brown eyes,white hair,male characters,living characters,51.0,jan-09,2009.0
690,druig (earth-616),secret identity,None,brown eyes,brown hair,male characters,living characters,31.0,may-77,1977.0
691,william perry (earth-616),no dual identity,good characters,None,None,male characters,living characters,1.0,sep-87,1987.0
692,jacob wallaby (earth-616),None,None,None,None,male characters,living characters,2.0,jan-78,1978.0
693,neut (earth-616),secret identity,bad characters,None,None,male characters,living characters,6.0,oct-95,1995.0
694,lord samedar (earth-616),public identity,good characters,white eyes,None,male characters,living characters,4.0,feb-82,1982.0
695,rolfe (asgardian) (earth-616),None,good characters,None,black hair,male characters,living characters,10.0,nov-85,1985.0
696,steel harris (earth-616),public identity,bad characters,None,None,male characters,living characters,1.0,dec-76,1976.0
697,ossilot (earth-616),secret identity,good characters,black eyes,brown hair,male characters,deceased characters,6.0,nov-66,1966.0
698,l.d. 50 (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,7.0,nov-90,1990.0
699,vincente cimetta (earth-616),secret identity,bad characters,yellow eyes,bald,male characters,living characters,4.0,feb-96,1996.0
700,general chen (earth-616),secret identity,bad characters,None,None,male characters,living characters,7.0,sep-66,1966.0
701,marcel deflandre (earth-616),secret identity,good characters,None,no hair,male characters,living characters,2.0,dec-00,2000.0
702,donald gill (earth-616),public identity,neutral characters,blue eyes,blue hair,male characters,living characters,73.0,oct-87,1987.0
703,sam matonabbe (earth-616),secret identity,good characters,None,black hair,male characters,deceased characters,7.0,nov-00,2000.0
704,timothy karlskin (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,oct-92,1992.0
705,henrique gallante (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,8.0,feb-93,1993.0
706,bleeding image (legion personality) (earth-616),secret identity,bad characters,brown eyes,bald,male characters,deceased characters,2.0,jul-11,2011.0
707,margoyle (earth-616),public identity,None,white eyes,purple hair,female characters,living characters,7.0,mar-95,1995.0
708,caesar of crime (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,1.0,sep-55,1955.0
709,kevin kennerman (earth-616),public identity,None,None,blond hair,male characters,living characters,1.0,nov-73,1973.0
710,bei bang-wen (earth-616),None,good characters,blue eyes,bald,male characters,living characters,2.0,mar-07,2007.0
711,fritz kalb (earth-616),None,good characters,None,None,male characters,deceased characters,2.0,nov-08,2008.0
712,zarpo (earth-616),no dual identity,bad characters,None,black hair,male characters,deceased characters,1.0,dec-41,1941.0
713,clay quartermain (earth-616),no dual identity,None,blue eyes,blond hair,male characters,deceased characters,97.0,dec-67,1967.0
714,stellarax (earth-616),None,None,None,None,male characters,living characters,5.0,nov-78,1978.0
715,pip gofern (earth-616),secret identity,good characters,green eyes,red hair,male characters,living characters,163.0,apr-75,1975.0
716,taxtor (earth-616),None,None,None,purple hair,male characters,living characters,1.0,oct-69,1969.0
717,rufus carter (earth-616),None,None,brown eyes,black hair,male characters,living characters,2.0,jan-81,1981.0
718,tailgunner (earth-616),secret identity,bad characters,None,None,male characters,living characters,6.0,dec-89,1989.0
719,cerise (ravens) (earth-616),None,bad characters,None,None,female characters,living characters,2.0,aug-90,1990.0
720,leonardo da vinci (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,16.0,jan-64,1964.0
721,tamika bowden (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,7.0,jun-93,1993.0
722,ethan thurm (earth-616),public identity,bad characters,None,brown hair,male characters,living characters,10.0,dec-85,1985.0
723,ixchel (earth-616),public identity,None,None,black hair,female characters,living characters,5.0,aug-12,2012.0
724,phillip coulson (earth-616),no dual identity,good characters,blue eyes,brown hair,male characters,living characters,49.0,jan-12,2012.0
725,raymond royton (earth-616),public identity,None,None,bald,male characters,living characters,2.0,dec-82,1982.0
